,Name,URL,Description,Ingredients,Instructions,Keywords,Question
126,Dry Daiquiri,https://www.theeducatedbarfly.com/dry-daiquiri/,The Dry Daiquiri comes to us from London bartender Kevin Armstrong. Working Campari into tropical drinks has been a popular trend over the last few years. It adds nice dimension and complexity to a drink which can come off as flat and one-dimensional. This template is also perfect for switching out your apertivo bitters to switch up the herbal component in the drink. Small tweaks like this lead to really surprising changes even in simple drinks such as this.,"- 1 1/4 oz Rum Heavy, lightly aged light
- 1/4 oz Campari Heavy
- 1/2 oz Lime Juice
- 1/2 oz Simple Syrup
- 1 dash  Passionfruit Syrup
- Orange Coin Twist Flamed 
","1. Add all ingredients to a shaker.
2. Shake 8-10 seconds with ice. 
3. Strain into a Nick and Norah glass.
4. Garnish.
5. Enjoy!
","Campari, Dry Daiquiri, Flamed Orange Twist, Kevin Armstrong, lime juice, passionfruit syrup, rum, simple syrup","What rum and herbal component can you recommend to create a cocktail similar to the Dry Daiquiri, which highlights the flavors of lime juice, passionfruit syrup, and a flamed orange twist?"
127,Flamingo in the Forest,https://www.theeducatedbarfly.com/flamingo-in-the-forest/,My riff on a bird of paradise.,"- 1 1/2 oz Vodka
- 1/4 oz Aperol
- 1/2 oz Aquavit
- 1 oz Pineapple Juice
- 1 oz Strawberry Cucumber Oleo Saccharum
- 350 g Strawberries sliced
- 200 g Cucumber sliced
- 250 g Sugar
","1. Add all ingredients and shake 10-15 seconds
2. Garnish with mint and cucumber
3. Pour sugar over sliced strawberry and cucumbers and allow to sit for 4 hours
4. Move to refrigerator and allow to sit for another 24 hours
5. Strain into bottle
6. Oleo will last about 2 weeks in the refrigerator
","aperol, Aquavit, cucumber, Flamingo in the Forest, pineapple juice, Strawberries, Strawberry Cucumber Oleo Saccharum, sugar, Vodka","Excuse me, bartender. I would like to try the ""Flamingo in the Forest"" cocktail. Could you please make it for me?"
128,Raspberry Fix,https://www.theeducatedbarfly.com/raspberry-fix/,Recommended Bar Tools:,"- 2 oz Cognac
- 1/4 oz Curaçao
- 3/4 oz Lemon Juice
- 1/2 oz Raspberry Syrup
- Lemon Twist
- Season Fruit
- Mint Sprig
","1. Add all ingredients into cocktail tin.
2. Add ice.
3. Shake 8-10 seconds.
4. Pour into chilled glass.
5. Add pebble ice.
6. Garnish.
7. Enjoy!
","Cognac, curacao, lemon juice, lemon twist, mint sprig, Raspberry Fix, Raspberry Syrup, Season Fruit","What cocktail would you recommend that highlights the flavors of Cognac, curacao, lemon juice, and raspberry syrup, similar to the Raspberry Fix?"
129,50/50 Margarita,https://www.theeducatedbarfly.com/50-50-margarita/,"The 50/50 Margarita is From New York City Bartender Natasha Bermudez. And just a really elegant approach to a lower ABV Cocktail. Experience the allure of the 50/50 Margarita, a sophisticated creation by renowned New York City Bartender, Natasha Bermudez. Delight in the perfect harmony of flavors as this elegant, lower ABV cocktail captivates your senses, offering a refreshing and refined libation that is sure to elevate your drinking experience.","- 1 oz Mezcal preferably Mezcal Verde Amarás Espadín
- 1 oz Manzanilla Sherry
- 3/4 oz Lime Juice
- 1/2 oz Cointreau
- 1/4 oz Agave Light Agave Syrup
- Smoked Chile Salt equal parts Tajín, Paprika and Salt
","1. Wipe a coin of lime on the side of a chilled glass.
2. Rimmed glass with the Smoked Chile Salt.
3. Set aside.
4. Add ingedients in mixing tin.
5. Add ice.
6. Shake for 8-10 seconds.
7. Double strain into the rimmed glass.
8. Enjoy!
","50/50 Margarita, cointreau, Light Agave Syrup, lime juice, Manzanilla Sherry, Mezcal, Natasha Bermudez, Smoked Chile Salt","Excuse me, bartender. I'm looking for a cocktail called the 50/50 Margarita. Could you please tell me more about it?"
130,Breakfast In Bed,https://www.theeducatedbarfly.com/breakfast-in-bed/,"Wake up to a tantalizing experience with Breakfast In Bed, the sensational creation of renowned NYC bartender Natasha David, formerly of the acclaimed nightcap bar. Immerse yourself in the world of low ABV drinking with Natasha’s book titled “Drink Lightly,” where she unveils a treasure trove of extraordinary libations, promising a delightful journey of flavor exploration that will revolutionize your drinking habits and ignite your passion for the art of mixology.","- 2 oz Vermouth Carpano Antica
- 1 tsp Fernet Brancamenta
- 3/4 oz Lemon Juice
- 1/2 oz Simple Syrup
- 1 bsp Orange Marmalade
- Mint Sprig
- Absinthe Spritz
","1. Add all ingredients into a cocktail shaker .
2. Whip shake with pebble ice then pour into a large DOF.
3. Add more pebble ice.
4. Garnish with Mint.
5. Enjoy!
","Breakfast In Bed, fernet, lemon juice, Marmalade, mint sprig, Natasha David, simple syrup, vermouth","Can you whip shake a combination of Vermouth Carpano Antica, Fernet Brancamenta, lemon juice, simple syrup, orange marmalade, and a mint sprig, garnished with an absinthe spritz, to recreate a refreshing cocktail like the Breakfast In Bed?"
131,The Goldfinch,https://www.theeducatedbarfly.com/the-goldfinch/,"Indulge in the exquisite artistry of The Goldfinch, a masterful creation by renowned mixologist Lauren Schell exclusively crafted for the iconic New Orleans Bar, Seaworthy. Immerse yourself in a symphony of flavors as this captivating libation takes you on a journey of refined taste, offering a truly unforgettable experience that perfectly captures the spirit of the vibrant city.","- 1 oz Fino Sherry
- 1 oz Cocchi Americano
- 3/4 oz Lemon Juice
- 1/2 oz Simple Syrup
- 2 dashes Orange Bitters
- Grapefruit Twist
- Soda Water
","1. Add all ingredients to a cocktail shaker.
2. Shake with ice strain into a highball glass.
3. Top with club soda.
4. Garnish with a grapefruit twist.
5. Enjoy!
","Club Soda, Cocchi Americano, Fino Sherry, Grapefruit Twist, Lauren Schell, lemon juice, orange bitters, simple syrup, The Goldfinch","Could you please recommend a cocktail that incorporates the flavors of Fino Sherry, Cocchi Americano, and grapefruit?"
132,Red Hook,https://www.theeducatedbarfly.com/red-hook/,"The Red Hook was created by Italian Bartender Vincenzo Errico at Milk & Honey in New York City around 2003. This is Errico’s own entry into the realm of Manhattan riffs named for Brooklyn neighborhoods. This one subbing in Punt e Mes a vermouth amaro hybrid and maraschino for sweet vermouth. Errico now co-owns a bar on the island of Ischia called Le Arte Fatto which I was fortunate enough to travel to and it’s amazing so if you find yourself there, you know where to drink!","- 2 oz Rye
- 1/2 oz Maraschino Liqueur
- 1/2 oz Punt e Mes
- Maraschino Cherry
","1. Add all ingredients in a mixing glass.
2. Add ice.
3. Stir.
4. In a chilled coupe, add garnish.
5. Double strain cocktail to the chilled coupe.
6. Enjoy!
","2000s, amaro, brooklyn, cherry, Maraschino, maraschino cherry, maraschino liqueur, milk & honey, milk and honey, nyc, Punt e Mes, rye, rye whiskey, sweet vermouth, vermouth, Vincenzo Errico, Whiskey",What rye whiskey-based cocktail do you have that incorporates Punt e Mes and maraschino liqueur to create a unique twist on the classic Manhattan?
133,Joy Division,https://www.theeducatedbarfly.com/joy-division/,The Joy Division Another Phil Ward recipe from Death & Co in 2008.,"- 2 oz Gin Beefeater
- 1 oz Dry Vermouth Dolin Dry
- 1/2 oz Cointreau
- 3 dashes  Absinthe
- Orange Twist
","1. Add all ingredients in a mixing glass.
2. Add ice.
3. Stir.
4. Double strain cocktail to the chilled coupe.
5. Garnish.
6. Enjoy!
","2000s, Absinthe, Beefeater Gin, cointreau, death & co, death and company, dolin dry vermouth, dry vermouth, Gin, Joy Division, orange twist, Phil Ward","What cocktail do you recommend that includes the flavors of gin, dry vermouth, cointreau, absinthe, and an orange twist garnish?"
134,Elder Fashioned,https://www.theeducatedbarfly.com/elder-fashioned/,Created by Death & Co bartender Phil Ward in 2007. This was the year St. Germain was launched and bartenders were going crazy for it.,"- 2 oz Gin Plymouth 
- 1/2 oz St. Germain
- 2 Dash Orange bitters
- Grapefruit Twist
","1. Add all ingredients to a rocks glass.
2. Add a big rock of ice.
3. Stir until chilled approximately 30 seconds.
4. Zest peel and Garnish.
5. Enjoy!
","2000s, death & co, death and company, Elder Fashioned, Gin, Grapefruit Twist, orange bitters, Phil Ward, plymouth gin, st. germain","Can you recommend a cocktail that incorporates the floral notes of St. Germain, the citrus flavors of orange bitters, and the refreshing touch of grapefruit twist, similar to the Elder Fashioned?"
135,Mr. Brown,https://www.theeducatedbarfly.com/mr-brown/,Created by Clover Club bartender Franky Marshall around 2011. Close-ish to the revolver this old-fashioned variation is a perfect nightcap. And I hope against hope it’s named after a famous Reservoir Dogs scene with Steve Buscemi.,"- 2 oz Bourbon
- 3/4 oz Coffee Liqueur
- 1 dash Angostura Bitters
- 1 barspoon Vanilla syrup
- Orange Twist
","1. Add all ingredients to a mixing glass.
2. Add ice.
3. Stir approximately 45 seconds.
4. Zest orange peel over drink .
5. Garnish.
6. Enjoy!
","2010s, angostura bitters, Bourbon, clover club, coffee liqueur, Franky Marshall, Mr.Brown, orange twist, vanilla syrup","Excuse me, bartender. Could I please have a Mr. Brown cocktail?"
136,Black Manhattan,https://www.theeducatedbarfly.com/black-manhattan/,"This drink is so famous you’d think it was around a lot longer than it actually has. The Black Manhattan was created by San Francisco Bartender Todd Smith in 2005 who made the drink at another bar but brought it to the famous Bourbon & Branch. Maybe one of the most recognizable names in the SF bar Scene. It’s a simple construction, just sub out amaro for sweet vermouth. Add a few extra dashes of bitters for complexity. Boom!","- 2 oz Rye Whiskey
- 1 oz Amaro Averna
- 1 dash  Angostura Bitters
- 1 dash  Orange Bitters
- Maraschino Cherry
","1. Add all ingredients in a mixing glass.
2. Add ice.
3. Stir.
4. In a chilled coupe, add garnish.
5. Double strain cocktail to the chilled coupe.
6. Enjoy!
","2000s, amaro, angostura bitters, Avery’s, Black Manhattan, cherry, maraschino cherry, orange bitters, rye, rye whiskey, San Francisco, sweet vermouth, Todd Smith, Whiskey","Can you recreate a cocktail similar to the Black Manhattan, a famous San Francisco creation from the 2000s that features rye whiskey, amaro, and a combination of Angostura and orange bitters?"
137,Frozen Strawberry Negroni,https://www.theeducatedbarfly.com/frozen-strawberry-negroni/,,"- 1 oz Gin
- 1 oz Campari
- 1 oz Sweet Vermouth
- 3/4 oz Orange Juice
- 1/2 oz Simple Syrup
- 1 Strawberry
- 1/4 tsp Xanthan Gum
- 2 slices Orange half
- Strawberry
","1. Add all ingredients to a blender with approx 1/2 Cup Crushed Ice.
2. Blend smooth.
3. Pour into a Double Old Fashioned Glass.
4. Garnish with Orange Slices and a Strawberry on a pick.
5. Enjoy!
","Campari, Frozen Strawberrry Negroni, Gin, orange, orange juice, simple syrup, strawberry, Strawberry Negroni, sweet vermouth, Xanthan Gum","Bartender, could you please make me a Frozen Strawberry Negroni?"
138,Grohl Whip,https://www.theeducatedbarfly.com/grohl-whip/,"The Grohl Whip is an original cocktail cooked up in a strange dream featuring Dave Grohl, piña Coladas, and his (imaginary?) crappy whip my imagination wants him to own.","- 1 1/2 oz White Rum
- 1 1/2 oz Green Chartreuse (or alternative)
- 3 oz Pineapple Juice or 1 cup Frozen Pineapple chunks
- 3/4 oz Coconut Milk Syrup or Coconut Ice Cream or Cream of Coconut
- 1/2 Banana
- 1/4 tsp Xanthan Gum
- Mint bouquet  spritzed with a little Absinthe
","1. Add all ingredients to a blender
2. Blend until fully incorporated
3. Strain into a chilled Poco Grande glass
4. Garnish with a mint bouquet spritzed with a little absinthe mix
","Absinthe, Banana, Cream of Coconut, Frozen Pineapple, Green Chartreuse, Grohl Whip, leandro dimonriva, lemon juice, lime juice, Mint bouquet, salt, white rum","What cocktail do you have that combines the flavors of white rum, green chartreuse, pineapple, coconut, banana, and a hint of absinthe?"
139,Venetian Breeze,https://www.theeducatedbarfly.com/venetian-breeze/,"This cocktail is a light refreshing martini, perfect for summer, with a subtle grapefruit flavor. I’m from the U.S. working at an Italian restaurant inspired by a French Liqueur. After putting this recipe on the menu, it has been only positive feedback and I recommend and feature it to everyone. Even guests who tell me they don’t like the flavor of grapefruit all that much, seemingly want the recipe for themselves.","- 3/4 oz. Lemon Juice
- 1/2 oz. Simple Syrup
- 1 oz. Ocean Spray Ruby Red
- 1 oz. St. Germain Elderflower
- 1 oz. Vodka
","1. Add all ingredients to a shaker tin with ice
2. Shake and strain into a chilled martini glass
3. Garnish with a lemon wheel on the rim
",,"Could you please recommend a cocktail with a light and refreshing flavor, incorporating subtle grapefruit and elderflower notes, similar to the Venetian Breeze?"
140,Lavender Spriz Lemonade,https://www.theeducatedbarfly.com/lavender-spriz-lemonade/,"A cocktail I made during a hot day in front of the amazing view of the Sea of Galilee in Tiberias, Israel This cocktail is perfect for a warm summer day or evening. The lavender syrup adds a delicate floral flavor that blends perfectly with the acidity of the lemon juice. The vodka adds a kick, while the soda water adds some fizz to make it spritzy. Adjust the amount of soda water to your taste, depending on how strong or diluted you prefer your cocktail.","- 45 ml #vodka infused with vanilla
- 22.5 ml home made #lavender syrup
- 30 ml #pink lemonade
","1. Fill a highball or Collins glass with ice.
2. Add the vodka, lavender syrup and pink lemonade to the glass.
3. Mix well to combine the ingredients.
4. Add soda water.
5. Stir gently to mix everything together.
6. Garnish with a sprig of lavender, if desired.
7. Serve and enjoy!
",,"Can you recommend a cocktail that combines the delicate floral flavor of lavender syrup with the acidity of lemon juice, and has a kick from vodka, while also being spritzy with some fizz from soda water?"
141,Ann Darrow,https://www.theeducatedbarfly.com/ann-darrow/,"I watched your video making the Fay Wray cocktail, and wanted to try a riff on it, kicking up the exotic nature a bit. Fay Wray’s most famous roll was Ann Darrow in King Kong, so I made some substitutions and tweaks that bring some bolder flavors, fitting King Kong’s big screen presence.","- 1 oz Cachaça Aged, Novo Fogo Barrel Aged Cachaça
- 1 oz Armagnac Aged, Bas Armagnac Marie Duffau Napoléon
- 2/3 ml Banana Liqueur Giffard Banane du Bresil
- 1/3 ml Cinnamon syrup
- 1 oz Acid Adjusted Pineapple Juice Acid Adjusted Pineapple Juice, adjusted to lime equivalent
- Absinthe spritz
","1. Shake with pebble ice
2. open pour into chilled glass
3. top up with pebble/crushed ice.
4. Atomizer spritz of absinthe (Kübler Absinthe)
5. Garnish with banana slice, mint sprig, and cinnamon stick
",,"What cocktail do you recommend that combines the bold flavors of aged Cachaça, Armagnac, banana liqueur, cinnamon, pineapple, and a hint of absinthe?"
142,Gold Rush,https://www.theeducatedbarfly.com/gold-rush/,"The Gold Rush is what happens when you sub Bourbon for Gin in a bee’s knees. Simple right? But the honey and the barrel notes in the bourbon along with all that bourbony goodness (vanilla caramel, dark sugar you know the ones) makes this drink its own thing. Created by TJ Segal at Milk & Honey around 2001.","- 2 oz Bourbon
- 3/4 oz Honey Syrup
- 3/4 oz Lemon Juice
","1. Add all ingredients to a tin.
2. Shake 8-10 seconds.
3. Then strain into a rocks Glass over a big Rock of Ice.
4. No Garnish.
5. Enjoy!
","Bourbon, honey syrup, lemon juice, TJ Segal","Excuse me, bartender. Could I please have a Gold Rush cocktail?"
143,Double Pineapple,https://www.theeducatedbarfly.com/double-pineapple/,"The Double Pineapple is a creation of mine and is essentially a Pineapple Daiquiri with two sources of pineapple. Pineapple daiquiri people fall into two camps. Those that make it with fresh juice and those that make it with pineapple rum. Both groups defend their choice of pineapple with zeal.But my whole thing is, Why not have your cake and eat it too? Too much pineapple??? I think not!","- 2 oz Pineapple Rum Stiggins Fancy Pineapple Rum
- 3/4 oz Acid Adjusted Pineapple Juice see below
- 3/4 oz Simple Syrup Demerara Simple Syrup
- 5 drops Saline Solution 20% Saline Solution
- 100 ml Pineapple Juice
- 3.2 g Citric Acid
- 2 g Malic Acid
- 1/2 oz Lime Juice
- Lime Wheel
","1. Add all ingredients to a cocktail shaker.
2. Shake 8-10 seconds.
3. Then strain into a coupe or cocktail glass.
4. Garnish.
5. Enjoy!
","Acid Adjusted Pineapple Juice, citric acid, Demerara Simple Syrup, Double Pineapple, leandro dimonriva, lime juice, malic acid, pineapple juice, pineapple rum, simple syrup, Stiggins Fancy Pineapple Rum",Can you make a cocktail that highlights the flavors of pineapple and includes both fresh pineapple juice and pineapple rum?
144,Pineapple Old Fashioned,https://www.theeducatedbarfly.com/pineapple-old-fashioned/,There’s nothing more satisfying than an old fashioned. Except that is an old fashioned with pineapple.,"- 2 oz Pineapple Rum Plantation Stiggins’ fancy Pineapple Rum
- 1 barspoon  Coffee Liqueur
- 1/4 oz Demerara Syrup
- 3 dashes  Orange Bitters Regans’ Orange Bitters No. 6
- Orange Twist
","1. In a drinking glass, add all ingredients.
2. Add large ice.
3. Stir.
4. Garnish.
5. Enjoy!
","coffee liqueur, demerara syrup, orange bitters, orange twist, pineapple, Pineapple Old Fashioned, pineapple rum, Plantation Stiggins’ fancy Pineapple Rum, Regans’ Orange Bitters No. 6","Excuse me, bartender. Can you make me a Pineapple Old Fashioned?"
145,Old Sweet Song,https://www.theeducatedbarfly.com/old-sweet-song/,A basic but tasty mai tai variation featuring bourbon and peach.,"- 2 oz Bourbon Larceny
- 1/2 oz Peach Liqueur Mathilde
- 3/4 oz Orgeat s.c. but Pecans instead
- 1/4 oz Molasses Syrup s.c. Spec
- 1 oz Lemon Juice
","1. Combine ingredients in shaker with a few cracked ice cubes.
2. Shake and strain into old fashioned glass.
3. Fill with pebble ice.
4. Garnish with a slice of peach and big mint sprig.
","Corey FitzPatrick, Old Sweet Song","Excuse me, bartender. Can I please have an Old Sweet Song cocktail?"
146,Grenadine Sour,https://www.theeducatedbarfly.com/grenadine-sour/,"My current signature mocktail. The lack of alcohol somehow foams the holy hell out of the egg white and creates a very impressive head. The egg white itself grabs the aromatics of the orange blossom water and hits the nose as soon as you lift the drink. It should probably be served in a double rocks glass, but I like using a fun margarita glass.","- 2 oz Grenadine homemade
- 1 oz Lemon Juice
- 3 oz Water
- 1 Egg White
- 6 drops  Orange Blossom Water
","1. Add all ingredients to shaker
2. Dry shake for 30 seconds
3. Add ice and shake again
4. Strain into glass
","Grenadine Sour, Ryan Rose","Can you make a cocktail that combines the sweet and tart flavors of grenadine and lemon juice, with a hint of orange blossom water for a refreshing and aromatic experience?"
147,King Of The House,https://www.theeducatedbarfly.com/king-of-the-house/,"After three years of following The Educated Barfly and experimenting with my own recipes, I have finally created one worth sharing. I named it after my son, Henry, whose name literally means ‘king of the house,’ and was born earlier this year in January. This is a Mezcal Negroni variation, using Cocchi Americano to mellow the flavors of the Mezcal and elevate the orange Amaro to the same level as the Mezcal. A bar-spoon of Ancho Reyes Verde gives a hint of heat, but not enough to distract. It works with the classic Negroni formula of three ingredients with equal parts per ingredient.","- 1 oz Mezcal Del Maguey Vida Mezcal
- 1 oz Cocchi Americano
- 1 oz Bitter Liqueur Amaro Angeleno
- 1 bar spoon Chili Liqueur Ancho Reyes Verde
- Grapefruit 
- Orange Peel
","1. Stir all ingredients in a mixing glass with ice. 
2. Pour over a large cube of ice.
3. Garnish with a grapefruit or orange peel.
4. Serve.
","King Of The House, Philip Isles","Excuse me, bartender. I heard about a cocktail called ""King Of The House"". Can you please tell me how to make it?"
148,Maximillian Affair,https://www.theeducatedbarfly.com/maximillian-affair/,"The Maximillian Affair was created by Boston bartender Misty Kalkofen around 2008 at the Green Street Bar in the neighboring City of Cambridge. This bar was about four blocks from the house I grew up in and I’m tickled pink that a modern classic came from it. It’s now sadly percentile closed, most probably one of the many covid casualties.","- 1 oz Mezcal
- 1 oz Elderflower St. Germain Elderflower
- 1/2 oz Vermouth Punt e Mes
- 1/4 oz Lemon Juice
- Lemon Twist
","1. Add all ingredients to a cocktail shaker.
2. Shake with ice between 8-10 seconds.
3. Strain into a coupe or cocktail glass.
4. Zest a lemon twist over it.
5. Garnish with lemon Twist.
","elderflower, lemon juice, lemon twist, Maximillian Affair, Mezcal, Misty Kalkofen, Punt e Mes, st. germain, vermouth","Could you please shake together Mezcal, St. Germain Elderflower, Punt e Mes Vermouth, and lemon juice, and then strain it into a glass before garnishing it with a lemon twist to recreate the Maximillian Affair cocktail?"
149,Amaretto Sour,https://www.theeducatedbarfly.com/amaretto-sour/,"Finally, a bartender has made an Amaretto sour into a crave-worthy drink. Before Jeffrey Morgenthaler created this expression most people had a love-hate relationship with The Amaretto Sour.On the one hand, you want to love it, on the other, it’s cloyingly sweet and off-balance. Thankfully those days are over!","- 1 1/2 oz Amaretto
- 3/4 oz Bourbon Booker’s Bourbon
- 1 oz Lemon Juice
- 1 tsp Simple Syrup 2:1
-   Egg White
- Lemon Twist
","1. In a cocktail in, add all ingredients.
2. Dry Shake.
3. Add a large chunk of ice in a chilled smaller rock glass.
4. Garnish.
5. Enjoy!
","Amaretto, amaretto sour, Bourbon, egg white, jeffrey morgenthaler,, lemon juice, lemon twist, simple syrup","Excuse me, bartender. Can I please have an Amaretto Sour?"
150,Siesta,https://www.theeducatedbarfly.com/siesta/,The Siesta was created by NYC bartender Katie Stipe for the Flatiron Lounge around 2006. It’s a very satisfying take on a Daiquiri with a little bitter bite for the finish. Reeeeal nice!,"- 1 1/2 oz Tequila Blanco
- 1/4 oz Campari
- 3/4 oz Lime Juice
- 3/4 oz Simple Syrup
- 1/2 oz Grapefruit Juice
- Lime Wheel
","1. Add all ingredients to a tin with ice.
2. Shake until chilled approx 8-10 seconds.
3. Strain into a coupe or cocktail glass.
4. Garnish with a lime wheel.
5. Enjoy!
","2000s, Campari, grapefruit juice, Katie Stipe, lime juice, lime wheel, nyc, Siesta, simple syrup, tequila blanco","Could you please make me a cocktail inspired by the Siesta, a 2000s creation by NYC bartender Katie Stipe, featuring tequila blanco and a refreshing combination of lime juice, grapefruit juice, and a touch of Campari for a bitter bite?"
151,Ginger Rogers,https://www.theeducatedbarfly.com/ginger-rogers/,"Created by San Francisco Bartender Marcovaldo Dionysos for the bar Absinthe in 1998, this was an early hit at the very beginning of what would come to be known as the “cocktail renaissance”","- 1 1/2 oz Gin
- 3/4 oz Lemon Juice
- 2/3 oz Ginger Syrup
- 4-6 Mint Leaves
- Ginger Ale
- Mint Sprig
","1. Add Ming and ginger syrup to a highball glass.
2. Lightly muddle.
3. Then add gin and lemon juice.
4. Stir to combine.
5. Add ice and top with Ginger Ale.
6. Garnish with a mint sprig.
7. Enjoy!
","1990s, Gin, ginger ale, Ginger Rodgers, ginger syrup, lemon juice, Marcovaldo Dionysos, mint leaves, mint sprig","Excuse me, bartender. Can I please have a Ginger Rogers cocktail?"
152,Strawberry Daiquiri,https://www.theeducatedbarfly.com/strawberry-daiquiri/,"Of all the Daiquiris to come out of a frozen Machine, the strawberry daiquiri is king (or queen). I’m not sure if it was TGI Friday’s or in the case of where I grew up The Ground Round that made this daiquiri so famous but it was definitely a staple of that style family restaurant. Today we’re gonna just simplify that recipe but all the same deliciousness of the original.","- 2 oz White Rum
- 3/4 oz Lime Juice
- 3/4 oz Simple Syrup
- 1 Strawberry
- Lime Twist
","1. Add all ingredients to a tin and Muddle the Strawberry.
2. Then add ice and shake 8-10 seconds.
3. Strain into a cocktail glass or coupe.
4. Garnish.
5. Enjoy!
","lime juice, Lime Twist, simple syrup, strawberry, Strawberry Daiquiri, white rum","Could you please muddle a strawberry and shake it with white rum, lime juice, and simple syrup to recreate a cocktail with flavors similar to a Strawberry Daiquiri?"
153,Strawberry Negroni,https://www.theeducatedbarfly.com/strawberry-negroni/,"The Strawberry Negroni is a pretty simple and straightforward twist on the classic, so today we decided to switch things up a bit. Instead of infusing Campari with strawberries, we opted for Bitter Bianco and Blanc vermouth. What’s left is a familiar but lighter take on the original.","- 1 oz Gin
- 1 oz Blanc Vermouth
- 1 oz Bitter Bianco Strawberry Infused Luxardo Bianco
- Lemon Twist
","1. Add ingredients into a chilled glass.
2. Add a big rock of ice.
3. Stir.
4. Garnish.
5. Enjoy!
","Bitter Bianco, blanc vermouth, Gin, lemon twist, strawberry, Strawberry Infused Luxardo Bianco, Strawberry Negroni","What would be your recommendation for a gin-based cocktail with a twist, similar to the classic Negroni but with a lighter flavor profile, perhaps using ingredients like Bitter Bianco and Blanc vermouth?"
154,Strawberry Caipirinha,https://www.theeducatedbarfly.com/strawberry-caipirinha/,We’re making a Strawberry Caipirinha because strawberries fit into the format of this drink so so well. This is more an adapted recipe than how you’d make it traditionally.,"- 2 oz Cachaca Avuá Cachaça
- 3/4 oz Simple Syrup
- 1 Sugar Cube Demerara
- 1 pc Lime Quarter sliced
- 1 Strawberry
","1. Add all ingredients to a tin.
2. Muddle the lime and strawberries.
3. Add ice.
4. Give it an 8-10 second shake.
5. Then dump into a chilled double old fashioned glass.
6. Add more ice if necessary.
7. Enjoy!
","Avuá Cachaça, cachaca, demerara sugar cube, lime, simple syrup, strawberry, Strawberry Caipirinha, sugar cube","Excuse me, bartender. Can I please have a Strawberry Caipirinha?"
155,Strawberry Nights,https://www.theeducatedbarfly.com/strawberry-nights/,Strawberry Nights was created by Jessica Lum for Intermezzo in St Petersburg Florida.,"- 1 1/2 oz Vodka
- 1/2 oz Cappelletti Apertivo
- 3/4 oz Strawberry Honey Syrup See below
- 3/4 oz Lemon Juice
- Egg White
- Soda Water
- 1 part Strawberry
- 2 parts Honey
","1. Add all ingredients to a tin.
2. Shake 30 seconds dry to emulsify egg.
3. Then add large format ice.
4. Shake again to chill and dilute 8-10 seconds.
5. Strain into an ice filled Collins glass.
6. Top with soda.
7. Enjoy!
","Cappelletti Apertivo, egg white, honey, Jessica Lum, lemon juice, soda water, strawberry, Strawberry Honey Syrup, Strawberry Nights, Vodka","Excuse me, bartender. I'm interested in trying a cocktail called ""Strawberry Nights"". Can you tell me more about it and how it's made?"
156,Bitter Old Man,https://www.theeducatedbarfly.com/bitter-old-man/,"I was looking for a bitter cocktail using Campari, Elderflower Liqueur and Averna Amaro. Couldn’t find anything exactly, so I made up one of my own. I think it is well-balanced and just bitter enough. I jokingly named it after myself, Bitter Old Man. If you try it and like it, feel free to give yourself credit for it. Love your channel. Watch all the videos. Best wishes, Tom McCaffertyGeorgetown, TX USA","- 1 1/2 oz London Dry Gin
- 1 oz Elderflower Liqueur
- 1 oz Campari
- 1/2 oz Lemon Juice
- 1/2 oz Averna Amaro
- 3 Dashes  Orange Bitters Reagan's Orange Bitters
","1. Add ingredients into a mixing glass and stir with ice.
2. Double strain into a chilled Nick and Nora Glass
3. Enjoy
","Averna Amaro, Bitter Old Man, Campari, elderflower Liqueur, Gin, lemon juice, london dry gin, orange bitters, Tom McCafferty","What cocktail options do you have that incorporate the flavors of Campari, Elderflower Liqueur, and Averna Amaro for a well-balanced and slightly bitter taste?"
157,Polka Dot Negroni,https://www.theeducatedbarfly.com/polka-dot-negroni/,"The Polka Dot was Created by Toby Maloney for the Violet Hour in Chicago and it’s his take on a White Negroni. This is another Stellar Cocktail from Maloney and the Violet Hour, his drinks are a masterclass in taking an approach to making cocktails, In this case, Milk & Honey, spinning it in a new way and making stand-out cocktails to boot. And what’s more, Maloney doesn’t often rely on complicated syrups and advanced techniques to make his cocktails shine. It’s all in the build and the ideas behind his creations. If you guys haven’t picked up Maloney’s Bartenders Manifesto, you’re doing yourself a disservice. Anyway, Enough gushing. On with the drink!","- 1 1/2 oz Gentian Liqueur Salers
- 1 oz Gin Junipero
- 1 oz Blanc Vermouth Dolin 
- 3 dashes  Grapefruit Bitters Bittercube Jamaican #2
- Lemon Twist
- Luxardo Cherry
","1. Add all ingredients to a mixing glass.
2. Stir until sufficiently chilled.
3. Strain into a Nick and Nora or coupe.
4. Garnish with Luxardo Cherry.
5. Zest with a Lemon Peel and discard.
6. Enjoy!
","Bittercube Jamaican #2, blanc vermouth, chicago, Dolin Blanc Vermouth, gentian liqueur, Gin, grapefruit bitters, Junipero, lemon twist, Luxardo Cherry, milk & honey, milk and honey, Polka Dot Negroni, Salers, Toby Maloney, violet hour, White Negroni",Could you please make me a cocktail that combines the bitter notes of gentian liqueur and grapefruit bitters with the botanicals of gin and the delicate sweetness of blanc vermouth?
